timestamp,headcount,is_festival,weather_factor,condition
2026-07-01T00:00:00+00:00,45,0,0.85,cloudy
2026-07-01T01:00:00+00:00,56,0,0.85,cloudy
2026-07-01T02:00:00+00:00,88,0,0.85,cloudy
2026-07-01T03:00:00+00:00,156,0,0.85,cloudy
2026-07-01T04:00:00+00:00,211,0,0.85,cloudy
2026-07-01T05:00:00+00:00,281,0,0.85,cloudy
2026-07-01T06:00:00+00:00,416,0,0.85,cloudy
2026-07-01T07:00:00+00:00,438,0,0.85,cloudy
2026-07-01T08:00:00+00:00,411,0,0.85,cloudy
2026-07-01T09:00:00+00:00,320,0,0.85,cloudy
2026-07-01T10:00:00+00:00,221,0,0.85,cloudy
2026-07-01T11:00:00+00:00,142,0,0.85,cloudy
2026-07-01T12:00:00+00:00,89,0,0.85,cloudy
2026-07-01T13:00:00+00:00,62,0,0.85,cloudy
2026-07-01T14:00:00+00:00,47,0,0.85,cloudy
2026-07-01T15:00:00+00:00,85,0,0.85,cloudy
2026-07-01T16:00:00+00:00,146,0,0.85,cloudy
2026-07-01T17:00:00+00:00,255,0,0.85,cloudy
2026-07-01T18:00:00+00:00,420,0,0.85,cloudy
2026-07-01T19:00:00+00:00,426,0,0.85,cloudy
2026-07-01T20:00:00+00:00,372,0,0.85,cloudy
2026-07-01T21:00:00+00:00,257,0,0.85,cloudy
2026-07-01T22:00:00+00:00,174,0,0.85,cloudy
2026-07-01T23:00:00+00:00,97,0,0.85,cloudy
2026-07-02T00:00:00+00:00,48,0,0.95,partly_cloudy
2026-07-02T01:00:00+00:00,63,0,0.95,partly_cloudy
2026-07-02T02:00:00+00:00,101,0,0.95,partly_cloudy
2026-07-02T03:00:00+00:00,148,0,0.95,partly_cloudy
2026-07-02T04:00:00+00:00,259,0,0.95,partly_cloudy
2026-07-02T05:00:00+00:00,323,0,0.95,partly_cloudy
2026-07-02T06:00:00+00:00,372,0,0.95,partly_cloudy
2026-07-02T07:00:00+00:00,457,0,0.95,partly_cloudy
2026-07-02T08:00:00+00:00,417,0,0.95,partly_cloudy
2026-07-02T09:00:00+00:00,374,0,0.95,partly_cloudy
2026-07-02T10:00:00+00:00,260,0,0.95,partly_cloudy
2026-07-02T11:00:00+00:00,147,0,0.95,partly_cloudy
2026-07-02T12:00:00+00:00,102,0,0.95,partly_cloudy
2026-07-02T13:00:00+00:00,57,0,0.95,partly_cloudy
2026-07-02T14:00:00+00:00,56,0,0.95,partly_cloudy
2026-07-02T15:00:00+00:00,95,0,0.95,partly_cloudy
2026-07-02T16:00:00+00:00,181,0,0.95,partly_cloudy
2026-07-02T17:00:00+00:00,317,0,0.95,partly_cloudy
2026-07-02T18:00:00+00:00,439,0,0.95,partly_cloudy
2026-07-02T19:00:00+00:00,484,0,0.95,partly_cloudy
2026-07-02T20:00:00+00:00,440,0,0.95,partly_cloudy
2026-07-02T21:00:00+00:00,311,0,0.95,partly_cloudy
2026-07-02T22:00:00+00:00,173,0,0.95,partly_cloudy
2026-07-02T23:00:00+00:00,92,0,0.95,partly_cloudy
2026-07-03T00:00:00+00:00,47,0,0.95,partly_cloudy
2026-07-03T01:00:00+00:00,66,0,0.95,partly_cloudy
2026-07-03T02:00:00+00:00,104,0,0.95,partly_cloudy
2026-07-03T03:00:00+00:00,154,0,0.95,partly_cloudy
2026-07-03T04:00:00+00:00,243,0,0.95,partly_cloudy
2026-07-03T05:00:00+00:00,347,0,0.95,partly_cloudy
2026-07-03T06:00:00+00:00,439,0,0.95,partly_cloudy
2026-07-03T07:00:00+00:00,458,0,0.95,partly_cloudy
2026-07-03T08:00:00+00:00,383,0,0.95,partly_cloudy
2026-07-03T09:00:00+00:00,399,0,0.95,partly_cloudy
2026-07-03T10:00:00+00:00,238,0,0.95,partly_cloudy
2026-07-03T11:00:00+00:00,150,0,0.95,partly_cloudy
2026-07-03T12:00:00+00:00,92,0,0.95,partly_cloudy
2026-07-03T13:00:00+00:00,53,0,0.95,partly_cloudy
2026-07-03T14:00:00+00:00,57,0,0.95,partly_cloudy
2026-07-03T15:00:00+00:00,92,0,0.95,partly_cloudy
2026-07-03T16:00:00+00:00,189,0,0.95,partly_cloudy
2026-07-03T17:00:00+00:00,306,0,0.95,partly_cloudy
2026-07-03T18:00:00+00:00,421,0,0.95,partly_cloudy
2026-07-03T19:00:00+00:00,494,0,0.95,partly_cloudy
2026-07-03T20:00:00+00:00,472,0,0.95,partly_cloudy
2026-07-03T21:00:00+00:00,290,0,0.95,partly_cloudy
2026-07-03T22:00:00+00:00,173,0,0.95,partly_cloudy
2026-07-03T23:00:00+00:00,104,0,0.95,partly_cloudy
2026-07-04T00:00:00+00:00,121,1,0.95,partly_cloudy
2026-07-04T01:00:00+00:00,172,1,0.95,partly_cloudy
2026-07-04T02:00:00+00:00,265,1,0.95,partly_cloudy
2026-07-04T03:00:00+00:00,469,1,0.95,partly_cloudy
2026-07-04T04:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T05:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T06:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T07:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T08:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T09:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T10:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T11:00:00+00:00,435,1,0.95,partly_cloudy
2026-07-04T12:00:00+00:00,272,1,0.95,partly_cloudy
2026-07-04T13:00:00+00:00,172,1,0.95,partly_cloudy
2026-07-04T14:00:00+00:00,144,1,0.95,partly_cloudy
2026-07-04T15:00:00+00:00,245,1,0.95,partly_cloudy
2026-07-04T16:00:00+00:00,481,1,0.95,partly_cloudy
2026-07-04T17:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T18:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T19:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T20:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T21:00:00+00:00,500,1,0.95,partly_cloudy
2026-07-04T22:00:00+00:00,494,1,0.95,partly_cloudy
2026-07-04T23:00:00+00:00,263,1,0.95,partly_cloudy
2026-07-05T00:00:00+00:00,34,0,0.75,drizzle
2026-07-05T01:00:00+00:00,43,0,0.75,drizzle
2026-07-05T02:00:00+00:00,75,0,0.75,drizzle
2026-07-05T03:00:00+00:00,136,0,0.75,drizzle
2026-07-05T04:00:00+00:00,207,0,0.75,drizzle
2026-07-05T05:00:00+00:00,292,0,0.75,drizzle
2026-07-05T06:00:00+00:00,298,0,0.75,drizzle
2026-07-05T07:00:00+00:00,390,0,0.75,drizzle
2026-07-05T08:00:00+00:00,360,0,0.75,drizzle
2026-07-05T09:00:00+00:00,271,0,0.75,drizzle
2026-07-05T10:00:00+00:00,190,0,0.75,drizzle
